D Lombardia Girone D classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm,P.S.,P.G,Media
1,Villani Massimo,Nuova Olimpia BK Voghera,C,1981,197,450,26,"17,31"
2,Riboli Simone,OSL Garbagnate,G/A,1998,,420,25,"16,80"
3,Alberici Mattia,AS Dil. Pall. Stradella,G,1996,182,416,25,"16,64"
4,Mandelli Stefano,ARS Ardens Basket Sedriano,A,1990,190,362,25,"14,48"
5,Degiorgio Gabriele,ASD Here You Can,A,1996,190,360,26,"13,85"
6,Orlandi Massimiliano,U.S.G. Abbiategrasso,G,2000,180,344,25,"13,76"
7,Ferrarini Stefano,A. Dil. Nova Basket 2003,G,1994,186,338,23,"14,70"
8,Maestri Fabio,ASD Pallacanestro Tromello,G/A,1994,185,338,25,"13,52"
9,Fossati Roberto,USD Basket Sanmaurense,P,1978,185,331,22,"15,05"
10,Villa Jacopo,A. Dil. Nova Basket 2003,A/C,1995,200,318,26,"12,23"
11,Marcone Filippo,U.S.G. Abbiategrasso,P,2000,180,316,23,"13,74"
12,Belloni Dario,Old Socks S. Martino,G,1992,185,314,23,"13,65"
13,Cogliati Stefano,ARS Ardens Basket Sedriano,P/G,1992,178,312,24,"13,00"
14,Capella Lorenzo,USD Basket Sanmaurense,A/C,1990,193,305,25,"12,20"
15,Mauri Simone,ARS Ardens Basket Sedriano,G,1987,185,295,26,"11,35"
16,Trifilò Francesco,ASD Pol. Garegnano,G,1989,,292,25,"11,68"
17,Diciocia Marcello,ASD Pallacanestro Tromello,A,1995,192,292,26,"11,23"
18,Chiani Giacomo,Vismara Hoosiers,A,1998,188,289,26,"11,12"
19,Daverio Nicolò,Settimo Basket ASD,A/C,1992,195,280,19,"14,74"
20,Natta Domenico,A. Dil. Nova Basket 2003,A,1996,187,279,20,"13,95"
21,Kaburi Maurice,ARS Ardens Basket Sedriano,A/C,1982,190,277,25,"11,08"
22,Boccalini Andrea,Old Socks S. Martino,G,1991,188,276,24,"11,50"
23,Ogliaro Nicola,Nuova Olimpia BK Voghera,G,1979,190,273,18,"15,17"
24,Peviani Paolo,A. Dil. Nova Basket 2003,A,1995,195,269,25,"10,76"
25,Santimone Andrea,OSL Garbagnate,G,1992,,266,23,"11,57"
26,Biganzoli Edoardo,Settimo Basket ASD,P/G,1995,188,260,23,"11,30"
27,Marin Davide,Ass. Sport. Dil. S. Giuseppe,P,1994,182,257,26,"9,88"
28,Vercesi Matteo,AS Dil. Pall. Stradella,G,1997,185,254,25,"10,16"
29,Ripamonti Pietro,OSL Garbagnate,P,1988,,250,22,"11,36"
30,Carnevale Gianluca,USD Basket Sanmaurense,P/G,1986,185,248,25,"9,92"
31,Marin Daniele,Ass. Sport. Dil. S. Giuseppe,G,1995,184,245,23,"10,65"
32,Galli Filippo,Old Socks S. Martino,A/C,1991,190,241,22,"10,95"
33,Gorla Matteo,Ass. Sport. Dil. S. Giuseppe,A/C,1995,204,239,22,"10,86"
34,Mazzocchi Nicholas,Nuova Olimpia BK Voghera,C,1995,,234,26,"9,00"
35,Fant Simone,ASD Pallacanestro Tromello,P,1995,175,231,24,"9,63"
36,Vai Stefano,ASD Here You Can,P,2000,182,225,25,"9,00"
37,Invernizzi Bruno,U.S.G. Abbiategrasso,G,1999,190,223,25,"8,92"
38,Niang Djibril,ASD Pol. Garegnano,A,1997,,221,26,"8,50"
39,Allegri Alessio,OSL Garbagnate,A,1982,192,219,11,"19,91"
40,Mezza Edoardo,U.S.G. Abbiategrasso,A,1999,196,219,23,"9,52"
41,Acerni Amedeo,Settimo Basket ASD,G,1997,184,213,24,"8,88"
42,Valle Riccardo,Vismara Hoosiers,P,1996,180,212,25,"8,48"
43,Casale Daniele,ASD Pol. Garegnano,P,1996,,211,23,"9,17"
44,Basani Marco,Settimo Basket ASD,G,1992,184,210,24,"8,75"
45,Jimenez Rosario Anelby,ASD Here You Can,G,2000,182,201,24,"8,38"
46,Waldner Enrico,ARS Ardens Basket Sedriano,C,1992,205,199,22,"9,05"
47,Matteoni Giovanni,Vismara Hoosiers,A,1995,190,191,23,"8,30"
48,Rovina Tommaso,Nuova Olimpia BK Voghera,P,1996,,189,21,"9,00"
49,Zucca Gianluca,ASD Pallacanestro Tromello,C,1996,195,186,26,"7,15"
