SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
Cral Dalmine,48,26,24,2,1895,1564,331,13,11,0,2
Bottanuco  Basket,42,26,21,5,1977,1612,365,11,10,2,3
Basket  Vercurago,32,26,16,10,1591,1478,113,8,8,5,5
BK Cologno  A/S.,32,26,16,10,1899,1818,81,9,7,4,6
Scuola BK  Treviglio,30,26,15,11,1658,1604,54,8,7,5,6
G.S. Giovanile  Civatese,28,26,14,12,1791,1746,45,7,7,6,6
ARS Rovagnate,28,26,14,12,1795,1776,19,9,5,4,8
Basket  Bellusco,26,26,13,13,1684,1685,-1,10,3,3,10
Autovittani  Pescate,24,26,12,14,1690,1749,-59,7,5,6,8
US S.  Pellegrino BK,20,26,10,16,1753,1894,-141,4,6,9,7
Basket  Verdello,16,26,8,18,1815,1861,-46,4,4,9,9
Pol. Mandello  Lario,16,26,8,18,1620,1935,-315,5,3,8,10
Pol.  Castegnato,14,26,7,19,1726,1868,-142,3,4,10,9
Butterfly  Italia Mezzago,8,26,4,22,1388,1692,-304,2,2,11,11
D Lombardia  Girone E
,,,,,,,,,,,
Play Off,,,,,,,,,,,
Salvezza  Diretta,,,,,,,,,,,
Play Out,,,,,,,,,,,
Retrocessione  Diretta,,,,,,,,,,,
